SeqId1,SeqId2,LCSTns
seq_10_0,seq_10_1,51244
seq_10_0,seq_10_2,34435
seq_10_0,seq_10_3,27224
seq_10_0,seq_10_4,21603
seq_10_0,seq_10_5,22681
seq_10_0,seq_10_6,31059
seq_10_0,seq_10_7,35735
seq_10_0,seq_10_8,34052
seq_10_0,seq_10_9,36687
seq_10_0,seq_10_10,34011
seq_10_0,seq_10_11,37290
seq_10_0,seq_10_12,35671
seq_10_0,seq_10_13,36010
seq_10_0,seq_10_14,33756
seq_10_1,seq_10_2,35257
seq_10_1,seq_10_3,31590
seq_10_1,seq_10_4,35626
seq_10_1,seq_10_5,32182
seq_10_1,seq_10_6,37473
seq_10_1,seq_10_7,35393
seq_10_1,seq_10_8,37440
seq_10_1,seq_10_9,35007
seq_10_1,seq_10_10,36448
seq_10_1,seq_10_11,34801
seq_10_1,seq_10_12,36081
seq_10_1,seq_10_13,33702
seq_10_1,seq_10_14,35792
seq_10_2,seq_10_3,31507
seq_10_2,seq_10_4,33824
seq_10_2,seq_10_5,33703
seq_10_2,seq_10_6,34911
seq_10_2,seq_10_7,32889
seq_10_2,seq_10_8,35967
seq_10_2,seq_10_9,32582
seq_10_2,seq_10_10,33035
seq_10_2,seq_10_11,31391
seq_10_2,seq_10_12,33424
seq_10_2,seq_10_13,33821
seq_10_2,seq_10_14,36306
seq_10_3,seq_10_4,33696
seq_10_3,seq_10_5,36792
seq_10_3,seq_10_6,33347
seq_10_3,seq_10_7,33282
seq_10_3,seq_10_8,31720
seq_10_3,seq_10_9,32195
seq_10_3,seq_10_10,31880
seq_10_3,seq_10_11,33207
seq_10_3,seq_10_12,33851
seq_10_3,seq_10_13,32353
seq_10_3,seq_10_14,33247
seq_10_4,seq_10_5,37030
seq_10_4,seq_10_6,34996
seq_10_4,seq_10_7,35132
seq_10_4,seq_10_8,32206
seq_10_4,seq_10_9,28050
seq_10_4,seq_10_10,31625
seq_10_4,seq_10_11,10717
seq_10_4,seq_10_12,7284
seq_10_4,seq_10_13,9336
seq_10_4,seq_10_14,7062
seq_10_5,seq_10_6,7614
seq_10_5,seq_10_7,8637
seq_10_5,seq_10_8,8764
seq_10_5,seq_10_9,9410
seq_10_5,seq_10_10,9413
seq_10_5,seq_10_11,12842
seq_10_5,seq_10_12,9344
seq_10_5,seq_10_13,10075
seq_10_5,seq_10_14,9187
seq_10_6,seq_10_7,9709
seq_10_6,seq_10_8,10112
seq_10_6,seq_10_9,9996
seq_10_6,seq_10_10,9180
seq_10_6,seq_10_11,9671
seq_10_6,seq_10_12,9488
seq_10_6,seq_10_13,9573
seq_10_6,seq_10_14,9157
seq_10_7,seq_10_8,9465
seq_10_7,seq_10_9,9286
seq_10_7,seq_10_10,9758
seq_10_7,seq_10_11,9080
seq_10_7,seq_10_12,8907
seq_10_7,seq_10_13,8909
seq_10_7,seq_10_14,9531
seq_10_8,seq_10_9,8532
seq_10_8,seq_10_10,9002
seq_10_8,seq_10_11,8821
seq_10_8,seq_10_12,8447
seq_10_8,seq_10_13,8815
seq_10_8,seq_10_14,9121
seq_10_9,seq_10_10,8945
seq_10_9,seq_10_11,9564
seq_10_9,seq_10_12,9050
seq_10_9,seq_10_13,9027
seq_10_9,seq_10_14,9788
seq_10_10,seq_10_11,9529
seq_10_10,seq_10_12,9040
seq_10_10,seq_10_13,8273
seq_10_10,seq_10_14,9236
seq_10_11,seq_10_12,9063
seq_10_11,seq_10_13,8960
seq_10_11,seq_10_14,9387
seq_10_12,seq_10_13,9409
seq_10_12,seq_10_14,9276
seq_10_13,seq_10_14,8884
seq_20_0,seq_20_1,33207
seq_20_0,seq_20_2,32862
seq_20_0,seq_20_3,31462
seq_20_0,seq_20_4,32489
seq_20_0,seq_20_5,33793
seq_20_0,seq_20_6,33947
seq_20_0,seq_20_7,49980
seq_20_0,seq_20_8,35154
seq_20_0,seq_20_9,34860
seq_20_0,seq_20_10,34279
seq_20_0,seq_20_11,36763
seq_20_0,seq_20_12,34136
seq_20_0,seq_20_13,32721
seq_20_0,seq_20_14,30575
seq_20_1,seq_20_2,33873
seq_20_1,seq_20_3,27617
seq_20_1,seq_20_4,29212
seq_20_1,seq_20_5,32326
seq_20_1,seq_20_6,30127
seq_20_1,seq_20_7,31946
seq_20_1,seq_20_8,32205
seq_20_1,seq_20_9,31339
seq_20_1,seq_20_10,35259
seq_20_1,seq_20_11,34828
seq_20_1,seq_20_12,35214
seq_20_1,seq_20_13,30421
seq_20_1,seq_20_14,30186
seq_20_2,seq_20_3,31407
seq_20_2,seq_20_4,33536
seq_20_2,seq_20_5,32011
seq_20_2,seq_20_6,32438
seq_20_2,seq_20_7,32184
seq_20_2,seq_20_8,32599
seq_20_2,seq_20_9,32459
seq_20_2,seq_20_10,32357
seq_20_2,seq_20_11,32589
seq_20_2,seq_20_12,34888
seq_20_2,seq_20_13,29419
seq_20_2,seq_20_14,31870
seq_20_3,seq_20_4,32554
seq_20_3,seq_20_5,36155
seq_20_3,seq_20_6,32434
seq_20_3,seq_20_7,32203
seq_20_3,seq_20_8,31834
seq_20_3,seq_20_9,32282
seq_20_3,seq_20_10,31907
seq_20_3,seq_20_11,32329
seq_20_3,seq_20_12,32462
seq_20_3,seq_20_13,32063
seq_20_3,seq_20_14,36569
seq_20_4,seq_20_5,32092
seq_20_4,seq_20_6,31250
seq_20_4,seq_20_7,32814
seq_20_4,seq_20_8,34091
seq_20_4,seq_20_9,33769
seq_20_4,seq_20_10,32483
seq_20_4,seq_20_11,31243
seq_20_4,seq_20_12,32192
seq_20_4,seq_20_13,32314
seq_20_4,seq_20_14,31537
seq_20_5,seq_20_6,32468
seq_20_5,seq_20_7,32958
seq_20_5,seq_20_8,32923
seq_20_5,seq_20_9,32759
seq_20_5,seq_20_10,32588
seq_20_5,seq_20_11,32372
seq_20_5,seq_20_12,31624
seq_20_5,seq_20_13,28501
seq_20_5,seq_20_14,32124
seq_20_6,seq_20_7,32981
seq_20_6,seq_20_8,30643
seq_20_6,seq_20_9,32045
seq_20_6,seq_20_10,31288
seq_20_6,seq_20_11,31625
seq_20_6,seq_20_12,35043
seq_20_6,seq_20_13,31385
seq_20_6,seq_20_14,32660
seq_20_7,seq_20_8,31231
seq_20_7,seq_20_9,32799
seq_20_7,seq_20_10,31870
seq_20_7,seq_20_11,31148
seq_20_7,seq_20_12,30141
seq_20_7,seq_20_13,32873
seq_20_7,seq_20_14,34999
seq_20_8,seq_20_9,33365
seq_20_8,seq_20_10,34364
seq_20_8,seq_20_11,33537
seq_20_8,seq_20_12,35528
seq_20_8,seq_20_13,33912
seq_20_8,seq_20_14,33316
seq_20_9,seq_20_10,34033
