SeqId1,SeqId2,LCSTns
seq_10_0,seq_10_1,51641
seq_10_0,seq_10_2,34554
seq_10_0,seq_10_3,24170
seq_10_0,seq_10_4,92184
seq_10_0,seq_10_5,71127
seq_10_0,seq_10_6,31219
seq_10_0,seq_10_7,41847
seq_10_0,seq_10_8,40537
seq_10_0,seq_10_9,41543
seq_10_0,seq_10_10,30787
seq_10_0,seq_10_11,37284
seq_10_0,seq_10_12,31267
seq_10_0,seq_10_13,36225
seq_10_0,seq_10_14,36665
seq_10_1,seq_10_2,38756
seq_10_1,seq_10_3,36182
seq_10_1,seq_10_4,22461
seq_10_1,seq_10_5,21963
seq_10_1,seq_10_6,39323
seq_10_1,seq_10_7,39523
seq_10_1,seq_10_8,33749
seq_10_1,seq_10_9,27070
seq_10_1,seq_10_10,24547
seq_10_1,seq_10_11,36987
seq_10_1,seq_10_12,34568
seq_10_1,seq_10_13,39280
seq_10_1,seq_10_14,36738
seq_10_2,seq_10_3,44193
seq_10_2,seq_10_4,38039
seq_10_2,seq_10_5,39145
seq_10_2,seq_10_6,37925
seq_10_2,seq_10_7,36919
seq_10_2,seq_10_8,37618
seq_10_2,seq_10_9,39161
seq_10_2,seq_10_10,37636
seq_10_2,seq_10_11,38758
seq_10_2,seq_10_12,38158
seq_10_2,seq_10_13,40516
seq_10_2,seq_10_14,38973
seq_10_3,seq_10_4,40064
seq_10_3,seq_10_5,41663
seq_10_3,seq_10_6,43498
seq_10_3,seq_10_7,36025
seq_10_3,seq_10_8,34848
seq_10_3,seq_10_9,35564
seq_10_3,seq_10_10,45580
seq_10_3,seq_10_11,34731
seq_10_3,seq_10_12,47413
seq_10_3,seq_10_13,38921
seq_10_3,seq_10_14,35843
seq_10_4,seq_10_5,33208
seq_10_4,seq_10_6,36349
seq_10_4,seq_10_7,35349
seq_10_4,seq_10_8,35851
seq_10_4,seq_10_9,36585
seq_10_4,seq_10_10,36907
seq_10_4,seq_10_11,33641
seq_10_4,seq_10_12,37992
seq_10_4,seq_10_13,39957
seq_10_4,seq_10_14,41353
seq_10_5,seq_10_6,50982
seq_10_5,seq_10_7,41074
seq_10_5,seq_10_8,46047
seq_10_5,seq_10_9,40861
seq_10_5,seq_10_10,41943
seq_10_5,seq_10_11,10910
seq_10_5,seq_10_12,10905
seq_10_5,seq_10_13,10020
seq_10_5,seq_10_14,10345
seq_10_6,seq_10_7,10807
seq_10_6,seq_10_8,10485
seq_10_6,seq_10_9,11779
seq_10_6,seq_10_10,11543
seq_10_6,seq_10_11,10542
seq_10_6,seq_10_12,10538
seq_10_6,seq_10_13,10872
seq_10_6,seq_10_14,11338
seq_10_7,seq_10_8,10773
seq_10_7,seq_10_9,10547
seq_10_7,seq_10_10,10436
seq_10_7,seq_10_11,10170
seq_10_7,seq_10_12,10396
seq_10_7,seq_10_13,10464
seq_10_7,seq_10_14,9241
seq_10_8,seq_10_9,10155
seq_10_8,seq_10_10,10707
seq_10_8,seq_10_11,9941
seq_10_8,seq_10_12,10118
seq_10_8,seq_10_13,10221
seq_10_8,seq_10_14,13086
seq_10_9,seq_10_10,11191
seq_10_9,seq_10_11,10687
seq_10_9,seq_10_12,11382
seq_10_9,seq_10_13,11056
seq_10_9,seq_10_14,10084
