SeqId1,SeqId2,LCSTns
seq_10_0,seq_10_1,28243
seq_10_0,seq_10_2,20753
seq_10_0,seq_10_3,49748
seq_10_0,seq_10_4,20857
seq_10_0,seq_10_5,21777
seq_10_0,seq_10_6,19484
seq_10_0,seq_10_7,18801
seq_10_0,seq_10_8,25157
seq_10_0,seq_10_9,21489
seq_10_0,seq_10_10,48060
seq_10_0,seq_10_11,21014
seq_10_0,seq_10_12,33404
seq_10_0,seq_10_13,19884
seq_10_0,seq_10_14,22074
seq_10_1,seq_10_2,20269
seq_10_1,seq_10_3,23638
seq_10_1,seq_10_4,20620
seq_10_1,seq_10_5,21112
seq_10_1,seq_10_6,21845
seq_10_1,seq_10_7,23522
seq_10_1,seq_10_8,20437
seq_10_1,seq_10_9,23005
seq_10_1,seq_10_10,22726
seq_10_1,seq_10_11,23664
seq_10_1,seq_10_12,40682
seq_10_1,seq_10_13,21965
seq_10_1,seq_10_14,21842
seq_10_2,seq_10_3,21438
seq_10_2,seq_10_4,21686
seq_10_2,seq_10_5,23228
seq_10_2,seq_10_6,20926
seq_10_2,seq_10_7,22990
seq_10_2,seq_10_8,20719
seq_10_2,seq_10_9,21236
seq_10_2,seq_10_10,21258
seq_10_2,seq_10_11,22137
seq_10_2,seq_10_12,24636
seq_10_2,seq_10_13,22438
seq_10_2,seq_10_14,22707
seq_10_3,seq_10_4,27693
seq_10_3,seq_10_5,22063
seq_10_3,seq_10_6,20054
seq_10_3,seq_10_7,21011
seq_10_3,seq_10_8,21249
seq_10_3,seq_10_9,19795
seq_10_3,seq_10_10,20737
seq_10_3,seq_10_11,23193
seq_10_3,seq_10_12,22032
seq_10_3,seq_10_13,21373
seq_10_3,seq_10_14,22160
seq_10_4,seq_10_5,20769
seq_10_4,seq_10_6,20653
seq_10_4,seq_10_7,22449
seq_10_4,seq_10_8,20598
seq_10_4,seq_10_9,24481
seq_10_4,seq_10_10,23618
seq_10_4,seq_10_11,22547
seq_10_4,seq_10_12,22163
seq_10_4,seq_10_13,19396
seq_10_4,seq_10_14,19023
seq_10_5,seq_10_6,36453
seq_10_5,seq_10_7,18659
seq_10_5,seq_10_8,25170
seq_10_5,seq_10_9,19048
seq_10_5,seq_10_10,20921
seq_10_5,seq_10_11,22156
seq_10_5,seq_10_12,22901
seq_10_5,seq_10_13,22539
seq_10_5,seq_10_14,22248
seq_10_6,seq_10_7,20290
seq_10_6,seq_10_8,23768
seq_10_6,seq_10_9,20265
seq_10_6,seq_10_10,21108
seq_10_6,seq_10_11,23042
seq_10_6,seq_10_12,21869
seq_10_6,seq_10_13,22200
seq_10_6,seq_10_14,22710
seq_10_7,seq_10_8,22218
seq_10_7,seq_10_9,24499
seq_10_7,seq_10_10,20171
seq_10_7,seq_10_11,21639
seq_10_7,seq_10_12,20436
seq_10_7,seq_10_13,20158
seq_10_7,seq_10_14,20668
seq_10_8,seq_10_9,20029
seq_10_8,seq_10_10,24016
seq_10_8,seq_10_11,22953
seq_10_8,seq_10_12,22056
seq_10_8,seq_10_13,21600
seq_10_8,seq_10_14,21162
seq_10_9,seq_10_10,22607
seq_10_9,seq_10_11,22168
seq_10_9,seq_10_12,21289
seq_10_9,seq_10_13,25800
seq_10_9,seq_10_14,513503
seq_10_10,seq_10_11,23038
seq_10_10,seq_10_12,22805
seq_10_10,seq_10_13,21638
seq_10_10,seq_10_14,22531
seq_10_11,seq_10_12,20757
seq_10_11,seq_10_13,24860
seq_10_11,seq_10_14,24786
seq_10_12,seq_10_13,21540
seq_10_12,seq_10_14,21787
seq_10_13,seq_10_14,22146
seq_20_0,seq_20_1,81358
seq_20_0,seq_20_2,119584
seq_20_0,seq_20_3,76739
seq_20_0,seq_20_4,78513
seq_20_0,seq_20_5,78061
seq_20_0,seq_20_6,82858
seq_20_0,seq_20_7,17933
seq_20_0,seq_20_8,16542
seq_20_0,seq_20_9,16456
seq_20_0,seq_20_10,17534
seq_20_0,seq_20_11,15801
seq_20_0,seq_20_12,15441
seq_20_0,seq_20_13,18450
seq_20_0,seq_20_14,18580
seq_20_1,seq_20_2,16353
seq_20_1,seq_20_3,15397
seq_20_1,seq_20_4,14284
seq_20_1,seq_20_5,15128
seq_20_1,seq_20_6,15156
seq_20_1,seq_20_7,15870
seq_20_1,seq_20_8,18863
seq_20_1,seq_20_9,16058
seq_20_1,seq_20_10,17262
seq_20_1,seq_20_11,15378
seq_20_1,seq_20_12,14997
seq_20_1,seq_20_13,15154
seq_20_1,seq_20_14,14392
seq_20_2,seq_20_3,15438
seq_20_2,seq_20_4,14446
seq_20_2,seq_20_5,14500
seq_20_2,seq_20_6,14431
seq_20_2,seq_20_7,16034
seq_20_2,seq_20_8,16413
seq_20_2,seq_20_9,16147
seq_20_2,seq_20_10,15096
seq_20_2,seq_20_11,15304
seq_20_2,seq_20_12,15578
seq_20_2,seq_20_13,16239
seq_20_2,seq_20_14,18549
seq_20_3,seq_20_4,16734
seq_20_3,seq_20_5,16396
seq_20_3,seq_20_6,15836
seq_20_3,seq_20_7,16268
seq_20_3,seq_20_8,15292
seq_20_3,seq_20_9,15013
seq_20_3,seq_20_10,15668
seq_20_3,seq_20_11,18154
seq_20_3,seq_20_12,17039
seq_20_3,seq_20_13,17732
seq_20_3,seq_20_14,17241
seq_20_4,seq_20_5,16920
seq_20_4,seq_20_6,19045
seq_20_4,seq_20_7,27351
seq_20_4,seq_20_8,18857
seq_20_4,seq_20_9,18495
seq_20_4,seq_20_10,18187
seq_20_4,seq_20_11,23083
seq_20_4,seq_20_12,11063
seq_20_4,seq_20_13,16475
seq_20_4,seq_20_14,3142870
seq_20_5,seq_20_6,15985
seq_20_5,seq_20_7,14120
seq_20_5,seq_20_8,14529
seq_20_5,seq_20_9,14696
seq_20_5,seq_20_10,12956
seq_20_5,seq_20_11,10513
seq_20_5,seq_20_12,14213
seq_20_5,seq_20_13,14155
seq_20_5,seq_20_14,15460
seq_20_6,seq_20_7,13479
seq_20_6,seq_20_8,16128
seq_20_6,seq_20_9,15310
seq_20_6,seq_20_10,12913
seq_20_6,seq_20_11,15889
seq_20_6,seq_20_12,14960
seq_20_6,seq_20_13,17723
seq_20_6,seq_20_14,12047
seq_20_7,seq_20_8,14409
seq_20_7,seq_20_9,13587
seq_20_7,seq_20_10,17795
seq_20_7,seq_20_11,15558
seq_20_7,seq_20_12,16441
seq_20_7,seq_20_13,18704
seq_20_7,seq_20_14,16042
seq_20_8,seq_20_9,15251
seq_20_8,seq_20_10,17805
seq_20_8,seq_20_11,43878
seq_20_8,seq_20_12,16482
seq_20_8,seq_20_13,17902
seq_20_8,seq_20_14,17972
seq_20_9,seq_20_10,16782
seq_20_9,seq_20_11,2826429
seq_20_9,seq_20_12,16819
seq_20_9,seq_20_13,16750
seq_20_9,seq_20_14,18568
seq_20_10,seq_20_11,14896
seq_20_10,seq_20_12,15215
seq_20_10,seq_20_13,25721
seq_20_10,seq_20_14,16868
seq_20_11,seq_20_12,16891
seq_20_11,seq_20_13,11005
seq_20_11,seq_20_14,18289
seq_20_12,seq_20_13,17569
seq_20_12,seq_20_14,13359
seq_20_13,seq_20_14,12697
seq_30_0,seq_30_1,30684
seq_30_0,seq_30_2,33073
seq_30_0,seq_30_3,241532
seq_30_0,seq_30_4,37887
seq_30_0,seq_30_5,37840
seq_30_0,seq_30_6,39618
seq_30_0,seq_30_7,36035
seq_30_0,seq_30_8,61520
seq_30_0,seq_30_9,37470
seq_30_0,seq_30_10,36313
seq_30_0,seq_30_11,182055
seq_30_0,seq_30_12,37499
seq_30_0,seq_30_13,39447
seq_30_0,seq_30_14,37612
seq_30_1,seq_30_2,34592
seq_30_1,seq_30_3,32094
seq_30_1,seq_30_4,35067
seq_30_1,seq_30_5,32749
seq_30_1,seq_30_6,158754
seq_30_1,seq_30_7,34717
seq_30_1,seq_30_8,35904
seq_30_1,seq_30_9,34327
seq_30_1,seq_30_10,33975
seq_30_1,seq_30_11,37207
seq_30_1,seq_30_12,34454
seq_30_1,seq_30_13,36973
seq_30_1,seq_30_14,96365
seq_30_2,seq_30_3,37480
seq_30_2,seq_30_4,37849
seq_30_2,seq_30_5,38716
seq_30_2,seq_30_6,37972
seq_30_2,seq_30_7,37881
seq_30_2,seq_30_8,38557
seq_30_2,seq_30_9,28850
seq_30_2,seq_30_10,38483
seq_30_2,seq_30_11,205665
seq_30_2,seq_30_12,38827
seq_30_2,seq_30_13,38393
seq_30_2,seq_30_14,38605
seq_30_3,seq_30_4,46138
seq_30_3,seq_30_5,37049
seq_30_3,seq_30_6,38370
